,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
111,5.60,Farmer's Best  IP-SUISSE?Mixed vegetablesBrunoise,unknown,750g,Frozen Food,Migros,2023-05-24
112,4.80,  RöstiFrench fries,Denny's,500g,Frozen Food,Migros,2023-05-24
113,3.75,Migros BioSwiss chopped spinach,unknown,500g,Frozen Food,Migros,2023-05-24
114,6.60,M-Classic  Happy HourHam croissant,unknown,504g,Frozen Food,Migros,2023-05-24
115,4.50,Mixed berriesUnsweetened,Alnatura,300g,Frozen Food,Migros,2023-05-24
116,7.–,J.Bank'sSpring rollsWith chicken and vegetables with sweet &sour sauce - ,unknown,6 pieces370g,Frozen Food,Migros,2023-05-24
117,5.95,Cream ice creamGelato stracciatella,Gelato,6 x 70ml,Frozen Food,Migros,2023-05-24
118,10.95,Don PolloChicken cordon bleuBreaded,unknown,750g,Frozen Food,Migros,2023-05-24
119,12.95,Momos with beef,Tenz,8 pieces280g,Frozen Food,Migros,2023-05-24
120,8.95,Migros BioBreaded Chicken Nuggets,unknown,300g,Frozen Food,Migros,2023-05-24
121,4.95,V-LoveNuggetsVeggie - approx. ,unknown,16 pieces320g,Frozen Food,Migros,2023-05-24
122,5.40,Iced bars,Mars,6 x 49.5ml,Frozen Food,Migros,2023-05-24
123,3.30,M-ClassicHalf plumsUnsweetened,unknown,750g,Frozen Food,Migros,2023-05-24
124,6.95,Ice cream pralineCrunchy & creamy,Choquello,8 x 82ml,Frozen Food,Migros,2023-05-24
125,8.40,Water-MelonWater iceWatermelon,unknown,8 x 70 ml,Frozen Food,Migros,2023-05-24
126,3.30,Migros BioSwiss creamed spinach,unknown,500g,Frozen Food,Migros,2023-05-24
127,4.50,  MSCFish fingers CodfishBreaded - ,Pelican,10 pieces300g,Frozen Food,Migros,2023-05-24
128,18.90,M-Classic  Happy HourHam croissant,unknown,36 pieces1512g,Frozen Food,Migros,2023-05-24
129,4.95,M-BudgetBaguette Margherita,unknown,6 x 125g,Frozen Food,Migros,2023-05-24
130,11.50,Migros BioShrimpsPeeled & cooked,unknown,400g,Frozen Food,Migros,2023-05-24
131,4.50,La TrattoriaPizzaWith ham and cheese,unknown,660g,Frozen Food,Migros,2023-05-24
132,5.95,Ice TeaWater ice ice teaLemon,unknown,12 x 48ml,Frozen Food,Migros,2023-05-24
133,4.50,M-ClassicFrench fries allumettesExtra fine,unknown,750g,Frozen Food,Migros,2023-05-24
134,9.95,M-BudgetDiced chickenWith spice brine,unknown,750g,Frozen Food,Migros,2023-05-24
135,3.40,Farmer's Best  IP-SUISSESpinach choppedSeasoned,unknown,800g,Frozen Food,Migros,2023-05-24
