,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
1488,8.50,Andutgel Bündnersalsiz,unknown,200g,Fish and Meat,Migros,2023-05-24
1489,9.25,Mostbröckli,unknown,100 g,Fish and Meat,Migros,2023-05-24
1490,8.95,M-BudgetMeat pie,unknown,550g,Fish and Meat,Migros,2023-05-24
1491,7.95,Carpaccio de boeuf,Sélection,100g,Fish and Meat,Migros,2023-05-24
1492,Regional Price,M-Classic  GrillMiLamb fillet skewerMarinated,unknown,NA,Fish and Meat,Migros,2023-05-24
1493,12.50,Fruits de merCuttlefish tentaclesCooked,unknown,200g,Fish and Meat,Migros,2023-05-24
1494,3.95,V-LoveVegetable nuggetsVegetarian,unknown,225g,Fish and Meat,Migros,2023-05-24
1495,4.50,Minced meatVegan,Migros Bio,200g,Fish and Meat,Migros,2023-05-24
1496,Regional Price,IP-SUISSERaw bacon,unknown,NA,Fish and Meat,Migros,2023-05-24
1497,7.50,Kale BurgerWith rapeseed,Migros Bio,360g,Fish and Meat,Migros,2023-05-24
1498,7.90,"  QuornGrill pepper steakBien cuite, à base de Quorn, produit de champignon, destinée à être consommée cuite",Cornatur,390g,Fish and Meat,Migros,2023-05-24
1499,4.50,  de GruyèresApero salami pearlsChorizo - mini,Spécialité Suisse,80g,Fish and Meat,Migros,2023-05-24
1500,Regional Price,M-Classic  ASCPangasius filletASC,unknown,NA,Fish and Meat,Migros,2023-05-24
1501,5.95,GrillMi  CornaturVegetarian skewer,unknown,175g,Fish and Meat,Migros,2023-05-24
1502,2.50,Vegetable Burger,Alnatura,210g,Fish and Meat,Migros,2023-05-24
1503,7.20,Minced meatVegan,Migros Bio,400g,Fish and Meat,Migros,2023-05-24
1504,7.90,Cordon vertVegetarian,Cornatur,520g,Fish and Meat,Migros,2023-05-24
1505,Regional Price,Shredded meatVegan,Migros Bio,NA,Fish and Meat,Migros,2023-05-24
1506,Regional Price,,Alnatura,NA,Fish and Meat,Migros,2023-05-24
1507,4.30,M-BudgetM-Budget Plant-Based Gehacktes vegan,unknown,350g,Fish and Meat,Migros,2023-05-24
1508,4.95,NuggetsVegan,Heura,180g,Fish and Meat,Migros,2023-05-24
1509,11.–,Planted.SkewersVegan,unknown,400g,Fish and Meat,Migros,2023-05-24
1510,9.50,Planted.Pea protein chickenVegan,unknown,2 x 175g,Fish and Meat,Migros,2023-05-24
1511,4.95,V-LoveV-Love Bio Pumpkin Burger,unknown,160g,Fish and Meat,Migros,2023-05-24
1512,6.50, Bio Chunks Teriyaki - Vegan,Luya,175g,Fish and Meat,Migros,2023-05-24
1513,4.95,Vegi Balls,unknown,200g,Fish and Meat,Migros,2023-05-24
1514,6.95,Planted.Planted. Pulled BBQ,unknown,1 piece,Fish and Meat,Migros,2023-05-24
1515,4.95,V-LoveV-Love Sea Style Fingers,unknown,180g,Fish and Meat,Migros,2023-05-24
1516,14.95,Juicy Marbles Thick-Cut Filet,unknown,226g,Fish and Meat,Migros,2023-05-24
1517,9.90,MSCWild salmon roe,unknown,60g,Fish and Meat,Migros,2023-05-24
1518,3.50,Salami Campagna,Fratelli Beretta,100 g,Fish and Meat,Migros,2023-05-24
1519,Regional Price,  IrresistibiliBâtonnets de salami,Citterio,NA,Fish and Meat,Migros,2023-05-24
1520,3.30,M-ClassicLyoner HamWith pistachios,unknown,150g,Fish and Meat,Migros,2023-05-24
1521,Regional Price,IP-SUISSEMeatloafThin cut,unknown,NA,Fish and Meat,Migros,2023-05-24
1522,5.95,Mini Hirtenstab,unknown,80g,Fish and Meat,Migros,2023-05-24
1523,Regional Price,Greyerzer Knoblauchwurst,unknown,NA,Fish and Meat,Migros,2023-05-24
1524,5.70,Bio Apéro Salami mit Kräutern,Migros Bio,60g,Fish and Meat,Migros,2023-05-24
1525,Regional Price,Party SticksClassic,Malbuner,NA,Fish and Meat,Migros,2023-05-24
1526,4.90,Apéro Pfefferwurst mini,unknown,80g,Fish and Meat,Migros,2023-05-24
1527,3.50,Pre-cooked beef asadoPrécuit,Anna's Best,100 g,Fish and Meat,Migros,2023-05-24
1528,5.40,GrillMi  BioShrimp skewerBBQ,unknown,100 g,Fish and Meat,Migros,2023-05-24
1529,5.90,Beef ChipsPlain,unknown,85g,Fish and Meat,Migros,2023-05-24
1530,2.95,Chicken breast,Don Pollo,200g,Fish and Meat,Migros,2023-05-24
1531,1.50,Veggie Salami,Alnatura,50g,Fish and Meat,Migros,2023-05-24
1532,4.50,  de GruyèresApero salami pearlsBeef - mini,Spécialité Suisse,80g,Fish and Meat,Migros,2023-05-24
1533,9.95,"Sushi - Salmon Rolls MixWith ginger, wasabi and soy sauce",Sushi Mania,205g,Fish and Meat,Migros,2023-05-24
1534,3.50,Pre-cooked pork Spare-RibsPrécuits,Anna's Best,100 g,Fish and Meat,Migros,2023-05-24
1535,3.90,Dry bacon with herbs,Migros Bio,50g,Fish and Meat,Migros,2023-05-24
1536,Regional Price,Salami,Rapelli,NA,Fish and Meat,Migros,2023-05-24
1537,3.–,M-BudgetSaucisse extra,unknown,500g,Fish and Meat,Migros,2023-05-24
