,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
86,Regional Price,"  AOPSwiss hard cheese, full-fat, made from raw milkRecent",Le Gruyère,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
87,3.30,"  L'OriginalFrench double cream cream cheese with herbs and garlic, made from pasteurized milkHerbs & Garlic",Tartare,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
88,3.15,Choco Drink,M-Classic,6 x 250ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
89,1.20,Cottage CheesePlain,M-Classic,115g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
90,3.60,HummusPlain,Anna's Best,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
91,3.45,!Oat drinkBarista,Oatly,1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
92,2.30,  ClassicoMozzarella Sticks,Alfredo,4 x 30g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
93,1.60,Sour single cream,Valflora,18% Milk fat200ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
94,2.65,  ClassicoMozzarellaBar,Alfredo,300g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
95,1.60,Flan with caramelised sugarCaramel,M-Budget,6 x 125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
96,4.45,The butterFrom pasteurized cream,unknown,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
97,1.95,"  SurchoixSwiss semi-hard cheese, full-fat, made from raw milk",Appenzeller,100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
98,2.10,Potato gnocchi,M-Budget,700g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
99,Regional Price,Swiss eggs 63g+Free-range,Migros Bio,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
100,0.95,  FairtradeYogurtMocha,Migros Bio,180g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
101,0.65,YogurtApple Mango,M-Classic,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
102,8.95,Compotes with no added sugar,Andros,"3x apple-strawberry, 3x apple-pineapple, 3x apple, 3x apple-banana12 x 100g","Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
103,Regional Price,  Tendre BûcheFrench cream cheese preparation from pasteurised goat's milkMild and creamy,Chavroux,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
104,0.70,YogurtPlain,Bifidus,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
105,2.45,"  ToastProcessed cheese preparation, fat, pasteurised",M-Budget,10 slices250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
106,1.80,  SKYRLow-fat curd - Icelandic StylePlain,You,170g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
107,2.05,Coffee cream,Valflora,500ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
108,4.–,"Swiss eggs SFree-range, boiled & colored",Migros Bio,1 piece,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
109,3.10,Aha!Sour creamLactose free,unknown,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
110,4.40,  IP-SUISSEWhole creamUHT - ,Valflora,35% Fat3 x 125ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
111,2.55,"Swiss full-fat hard cheese,, from pasteurized milkGrated",Sbrinz,120g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
112,1.60,  IP-SUISSESemi-skimmed milkUHT - ,Valflora,2.5% Fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
113,2.50,Salted butterSalé,unknown,100g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
114,0.50,YogurtPlain,M-Classic,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
115,1.05,Yogurt with creamTruffes,Excellence,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
116,2.–,"  Tomme à la crèmeSwiss soft cheese, full-fat",Jean-Louis,100g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
117,1.75,"  ClassicSwiss semi-hard cheese, full-fat, made from raw milkMild-spicy",Appenzeller,100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
118,3.50,Butter cooled spreadableTartinable à froid,Soft,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
119,0.65,YogurtHazelnuts,M-Classic,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
120,1.80,  SKYRLow-fat curd - Icelandic StyleRaspberry,You,170g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
121,1.–,  IP-SUISSESemi-skimmed milkUHT - ,Valflora,2.5% Fat500ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
122,0.95,  FairtradeYogurtVanilla,Migros Bio,180g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
123,3.55,Sour cream,Migros Bio,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
124,2.40,"  aha!MargarineLactose-free, without milk",Sanissa,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
125,4.20,Burrata,Sélection,125g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
126,0.70,Aha!Yogurt Lactose freeClassic,unknown,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
127,0.65,YogurtBlueberries,M-Classic,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
128,3.85,  PetitFresh milk dessert,Nesquik,6 x 60g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
129,2.50,Aha!MozzarellaLactose-free,unknown,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
130,3.75,  Tomme à la crèmeSoft cheeseFamily Pack,Jean-Louis,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
131,2.10,Sauce single cream,Valflora,25% Milk fat200ml,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
132,1.65,Skimmed milkUHT - ,M-Classic,0.1% Milk fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
133,1.40,  IP-SUISSEWhole milkHOCH PAST - ,Valflora,3.5% Fat1l,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
134,3.65,"  ClassicFrench semi-hard cheese, full-fat, made from pasteurised milk with edible rindNutty Mild",Fol Epi,150g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
135,0.95,  FairtradeYogurtStracciatella,Migros Bio,180g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
136,0.75,Yogurt with truffles and chocolate crispiesTruffes,M-Classic,180g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
137,5.70,"Swiss semi-hard cheese, full-fat, made from raw milkRosettes",Tête de Moine,120g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
138,2.55,  TraditionRacletteNature - ,Raccard,10 slices100 g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
139,2.–,Cottage CheeseChives,M-Classic,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
140,1.80,  SKYRLow-fat curd - Icelandic StyleVanilla,You,170g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
141,0.65,YogurtRaspberry,M-Classic,200g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
142,3.90,Cheese mixtureFor pizza and gratin,M-Budget,400g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
143,0.90,YogurtStrawberry,Migros Bio,180g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
144,2.50,SchupfnudelnWith potatoes,Anna's Best,500g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
145,3.25,Feta,M-Budget,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
146,4.55,"Fromage allemand à pâte mi-dure et dure, trois quarts-gras et gras, à base de lait pasteuriséIn slices - Edam, Tilsit, Emmental",M-Budget,400g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
147,Regional Price,  Yogi DrinkYogurt DrinkRaspberry,Emmi,NA,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
148,2.90,SpätzliWith eggs,Anna's Best,500g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
149,1.40,Low-fat curd cheeseNature,Migros Bio,250g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
150,4.50,  DippiFrench spreadable cheese made from cream cheese and grissiniNature - ,Kiri,5 bowls175g,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
151,6.50,Pizza with tomato sauce and mozzarellaMargherita,M-Budget,1.1kg,"Dairy, Eggs & Fresh Convenience Food",Migros,2023-05-18
