,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
436,9.50,Gasparini Vanille & Himbeer,Gasparini,4 x 80ml,Frozen Food,Migros,2023-05-18
437,3.40,LasagneBolognese,La Trattoria,360g,Frozen Food,Migros,2023-05-18
438,4.10,SorbetApricot &peach,Le Sorbet,1000ml,Frozen Food,Migros,2023-05-18
439,6.50,Seafood mixCooked,Costa,300g,Frozen Food,Migros,2023-05-18
440,9.75,Chicken meat,M-Classic,8 x 90g,Frozen Food,Migros,2023-05-18
441,4.95,Aha!Pâte feuilletée,unknown,280g,Frozen Food,Migros,2023-05-18
442,4.95,  DeliciousMashed potatoes,M-Classic,600g,Frozen Food,Migros,2023-05-18
443,9.90,PatacletteRaclette du Valais,unknown,235g,Frozen Food,Migros,2023-05-18
444,7.95,  ASCTilapia filetsIn light salt and pepper-Panande - ,Pelican,3-5 pieces450g,Frozen Food,Migros,2023-05-18
445,8.50,  BioPangasius sticks,Pelican,10 pieces300g,Frozen Food,Migros,2023-05-18
446,5.60,Apple tart,M-Classic,300g,Frozen Food,Migros,2023-05-18
447,7.95,Waffle Cornet - MiniVanilla-Strawberry,Fun,8 x 60ml,Frozen Food,Migros,2023-05-18
448,7.50,Crispy duck,M-Classic,300g,Frozen Food,Migros,2023-05-18
449,6.70,Chestnuts peeled,M-Classic,500g,Frozen Food,Migros,2023-05-18
450,5.35,BallsVegan - approx. ,V-Love,15 pieces300g,Frozen Food,Migros,2023-05-18
451,5.95,Mini Apero MixVegan,V-Love,400g,Frozen Food,Migros,2023-05-18
452,3.60,Cream ice creamStrawberry,M-Classic,1000ml,Frozen Food,Migros,2023-05-18
453,5.30,  Happy HourMini ham croissant,M-Classic,240g,Frozen Food,Migros,2023-05-18
454,10.60,Waffle CornetVanilla,Fun,8 x 145ml,Frozen Food,Migros,2023-05-18
455,4.95,Aha!Frozen pizza doughRound ,unknown,25cm260g,Frozen Food,Migros,2023-05-18
456,5.95,  PizzettaPizzettaMargherita,Buitoni,370g,Frozen Food,Migros,2023-05-18
457,9.70,Filets de saumon,Alnatura,160g,Frozen Food,Migros,2023-05-18
458,6.95,Plant-based ice creamAlmond,V-Love,1 piece,Frozen Food,Migros,2023-05-18
459,14.50,Beef tatareSeasoned,Finest,4 x 70g,Frozen Food,Migros,2023-05-18
460,1.55,Ice creamCaramel,Soft Ice,175ml,Frozen Food,Migros,2023-05-18
461,5.50,EdamamePeeled,Migros Bio,500G,Frozen Food,Migros,2023-05-18
462,6.50,  MinisVanilla ice creamWith milk chocolate coating and almonds,MegaStar,6 x 65ml,Frozen Food,Migros,2023-05-18
463,5.20,Vegetable cream ice creamVanilla Chocolate & Cookies,V-Love,450ml,Frozen Food,Migros,2023-05-18
464,5.20,LasagneVerdi Bolognese,La Trattoria,600g,Frozen Food,Migros,2023-05-18
465,7.95,  Filets Gourmet - MSCAtlantic Cod FilletJulienne,Pelican,400g,Frozen Food,Migros,2023-05-18
466,9.95,Cream ice creamChocolate Fudge Brownie,Ben & Jerry's,465ml,Frozen Food,Migros,2023-05-18
467,4.50,IP-SUISSEMixed berries,unknown,250g,Frozen Food,Migros,2023-05-18
468,5.20,LasagneFiorentina,La Trattoria,600g,Frozen Food,Migros,2023-05-18
469,2.60,ShrimpsPeeled and cooked,Pelican,100g,Frozen Food,Migros,2023-05-18
470,3.95,HamburgerBeef,M-Classic,2 x 90g,Frozen Food,Migros,2023-05-18
471,3.80,Asparagus ramekins,M-Classic,280g,Frozen Food,Migros,2023-05-18
472,6.80,  MSCScallops Breton styleIn shells,Pelican,220g,Frozen Food,Migros,2023-05-18
473,3.10,Ice creamChocolate and cherry,M-Classic,680ml,Frozen Food,Migros,2023-05-18
474,14.95,"  BioBlack Tiger PrawnsWhole, raw",Pelican,500g,Frozen Food,Migros,2023-05-18
475,6.50,  LégerWater iceVanilla,M-Classic,1000ml,Frozen Food,Migros,2023-05-18
476,14.80,"Shrimps Tail-OnPeeled, cooked",Migros Bio,300g,Frozen Food,Migros,2023-05-18
477,7.20,  BioSorbetLemon & Lime,Sélection,450ml,Frozen Food,Migros,2023-05-18
478,6.95,Asia Snack MixMoney Bags ,J.Bank's,"6x, Onion Bhajis 5x, Mini Spring Rolls 5x with sweet chili sauce370g",Frozen Food,Migros,2023-05-18
479,4.50,  Almost CookieCream ice cream caramel,Mary Jane,450ml,Frozen Food,Migros,2023-05-18
480,6.50,  MSCThai style pan-fried wild salmonWith noodles and vegetables,Costa,600g,Frozen Food,Migros,2023-05-18
481,6.95,  Bella NapoliPizzaMargherita,Buitoni,425g,Frozen Food,Migros,2023-05-18
482,3.95,  MinisVanilla ice creamWith milk chocolate coating and almonds,MegaStar,12 x 15ml,Frozen Food,Migros,2023-05-18
483,5.20,GlacecakePanna Cotta,Glacetta,700ml,Frozen Food,Migros,2023-05-18
484,7.20,SorbetMango,Sélection,450ml,Frozen Food,Migros,2023-05-18
485,4.95,Waffle Cornet - MiniChocolate,M-Classic,12 x 28 ml,Frozen Food,Migros,2023-05-18
486,29.95,  IP-SUISSEChinese fondue:Beef - thick,Finest,450g,Frozen Food,Migros,2023-05-18
487,5.30,"  Happy HourMini carrésWith spinach and ricotta, with mediterranean filling, with Mexican filling and with mushrooms and vegetables",M-Classic,384g,Frozen Food,Migros,2023-05-18
488,5.95,Cold Brew CoffeeWater iceCoffee,unknown,6 x 48 ml,Frozen Food,Migros,2023-05-18
489,11.50,  Premium QualityWagyu Burger,The Frozen Butcher,2 x 125g,Frozen Food,Migros,2023-05-18
490,2.40,Chicken necksNature,M-Classic,500g,Frozen Food,Migros,2023-05-18
491,4.10,SorbetPineapple Passion Fruit,Le Sorbet,1000ml,Frozen Food,Migros,2023-05-18
492,2.10,Cream ice creamVanilla,unknown,100ml,Frozen Food,Migros,2023-05-18
493,12.15,Swiss chicken whole,M-Budget,2kg,Frozen Food,Migros,2023-05-18
494,7.20,  Pure Pistacchio SiciliaCream ice cream pistachio,Sélection,450ml,Frozen Food,Migros,2023-05-18
495,7.20,  Pure Café Blue MountainCream ice coffee,Sélection,450ml,Frozen Food,Migros,2023-05-18
496,2.20,  LégerSorbetVanilla,M-Classic,165ml,Frozen Food,Migros,2023-05-18
497,5.20,Vegetable cream ice creamCoffee Caramel Swirl,V-Love,450ml,Frozen Food,Migros,2023-05-18
498,13.95,Octopus pieces cooked,Pelican,270g,Frozen Food,Migros,2023-05-18
499,6.95,  Orange DarkChocolate and orange ice creamWith dark chocolate coating and almonds,MegaStar,4 x 90ml,Frozen Food,Migros,2023-05-18
500,12.50,  XL - BurgerBeefDeep-frozen,M-Classic,4 x 140g,Frozen Food,Migros,2023-05-18
501,10.95,Trout CrunchyIn the batter,Pelican,250g,Frozen Food,Migros,2023-05-18
502,2.60,Calf's feet cut,M-Classic,300g,Frozen Food,Migros,2023-05-18
503,5.95,Dessert glacéMocha,Glacetta,4 x 120ml,Frozen Food,Migros,2023-05-18
504,7.20,  Pure Nocciola PiemonteHazelnut cream ice cream,Sélection,450ml,Frozen Food,Migros,2023-05-18
505,6.40,  MSC & ASCReady to pan seafood mixIn tomato sauce,Condipresto,450g,Frozen Food,Migros,2023-05-18
506,7.20,  Pure Chocolat Santo DomingoCream ice chocolate,Sélection,450ml,Frozen Food,Migros,2023-05-18
507,6.10,Burgundy style snailsWith herb butter - ,Pelican,12 pieces89g,Frozen Food,Migros,2023-05-18
508,7.20,SorbetRaspberry,Sélection,450ml,Frozen Food,Migros,2023-05-18
509,4.30,  Filets Gourmet - MSCAtlantic Cod FilletProvençale,Pelican,200g,Frozen Food,Migros,2023-05-18
510,6.50,Green musselsHalf shells - white,Pelican,500g,Frozen Food,Migros,2023-05-18
511,4.95,Ice cream veganCrackin Caramel,Enjoy Trill,3 x 100ml,Frozen Food,Migros,2023-05-18
512,7.50,Shrimp,Alnatura,225g,Frozen Food,Migros,2023-05-18
513,8.95,  VanillaVanilla ice creamWith milk chocolate coating,MegaStar,6 x 120ml,Frozen Food,Migros,2023-05-18
514,2.10,Cream ice creamChocolate,unknown,100ml,Frozen Food,Migros,2023-05-18
515,6.95,  Bella NapoliPizzaHam & Mushrooms,Buitoni,415g,Frozen Food,Migros,2023-05-18
516,7.20,SorbetBlood orange,Sélection,450ml,Frozen Food,Migros,2023-05-18
