,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
87,2.50,Cake doughSquare,M-Budget,600g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
88,4.90,Blossom honeySqueeze,Squeeze,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
89,3.–,AlmondsGround,M-Budget,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
90,0.50,Vanillin sugar,Patissier,10 x 8g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
91,2.–,  CristalSugar cubes,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
92,2.80,  IP-SUISSEMini sandwichesEat the same day,M-Classic,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
93,Regional Price,Bread roll with wholemeal flourPre-baked,M-Classic,NA,"Bread, Pastries, & Breakfast",Migros,2023-05-18
94,1.85,Honey rice cake,Alnatura,96g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
95,1.95,JamRaspberries,M-Budget,450g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
96,2.80,Sugar sticksX,M-Classic,4500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
97,4.40,Butter braidPart-baked,Migros Bio,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
98,3.40,Aha!Farmhouse breadGluten- and lactose-free,unknown,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
99,3.55,Pizza doughRolled out and extra thin,Anna's Best,320g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
100,3.90,BürliPre-baked,Migros Bio,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
101,1.–,Lentil wafersSea-salt,Alnatura,44g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
102,2.20,  IP-SUISSEXL ToastVitality,American Favorites,365g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
103,2.–,High Protein sliced toast,Oh!,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
104,1.90,Rice cakesWith strawberry yogurt,Alnatura,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
105,2.–,Rusk,M-Budget,510g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
106,3.70,Peanut butterCreamy,M-Classic,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
107,1.20,Wholemeal rice wafers coated with dark chocolate,M-Classic,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
108,2.10,  IP-SUISSEWheat half-white flour,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
109,3.70,Brioche St-Germain,unknown,330g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
110,3.10,Protein bread,You,320g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
111,2.20,Buns for hamburgers and sandwiches,American Favorites,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
112,1.65,Rice cakesWith yogurt,Alnatura,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
113,4.20,BerlinRaspberry-redcurrant,unknown,280g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
114,2.75,  ExtraJamStrawberries,Belle Journée,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
115,4.30,Wholemeal breakfast,Weetabix,430g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
116,2.95,Agave syrupDispenser bottle,Alnatura,250ml,"Bread, Pastries, & Breakfast",Migros,2023-05-18
117,2.20,  IP-SUISSERuch flour,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
118,3.75,Pizza doughSPHERE,M-Classic,800g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
119,Regional Price,Crustless toast,unknown,NA,"Bread, Pastries, & Breakfast",Migros,2023-05-18
120,2.45,Crunchy bread rolls,M-Classic,225g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
121,3.–,Puff pastryRolled and angular,Migros Bio,320g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
122,3.40,  CubanaRaw sugar from sugar cane in cubes,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
123,0.90,Rice wafersGluten free,M-Classic,130g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
124,2.90,Cream Cuts,unknown,157g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
125,3.80,HazelnutsGround,M-Classic,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
126,0.60,Baking soda,Patissier,50g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
127,1.40,Chocolate rice wafers dark,Alnatura,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
128,5.30,  SmacksCrunchy wheat with vitamins and iron.,Kellogg's,600g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
129,2.50,"  aha!Corn flakesGluten free, without wheat",Migros Bio,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
130,1.95,  ExtraJamStrawberry & rhubarb,Belle Journée,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
131,3.50,Bourbon vanilla,Alnatura,3 x 8g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
132,3.95,Muesli NibblesChocolate,M-Budget,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
133,3.10,  IP-SUISSEBread rolls with butterEat on the same day,M-Classic,325g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
134,3.30,AlmondsGround,M-Classic,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
135,2.95,Cocoa powder,Patissier,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
136,5.95,Fine creamy honey,unknown,550g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
137,5.30,  FrostiesPower Flakes made from corn,Kellogg's,600g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
138,3.20,Oats Crunchy forest berry,Alnatura,375g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
139,1.20,Grated coconutGrated,M-Classic,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
140,4.50,  CrocMuesli NibblesApple and cinnamon,Farmer,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
141,2.70,  IP-SUISSELight breadSliced,Happy Bread,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
142,4.20,Blossom honey Dispenser bottle,Alnatura,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
143,4.20,RuskNo added sugar,M-Classic,270g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
144,3.30,  FITNatural FlakesFlakes de riz et de froment avec ,M-Classic,8 vitamines et du fer500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
145,3.30,Low carb bread,You,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
146,1.–,Wholemeal rice wafersWithout added salt,M-Classic,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
